FID_1,BOROCODE,BORONAME,COUNTYFIPS,NTACODE,NTANAME,SHAPE_LENG,SHAPE_AREA,SUM_TOTAL_POP,COUNT_CONSTRUCTIONNOISE,COUNT_subwaystops,COUNT_SHOOTINGS,Shootings_Weighted_Pop,COUNT_SAT,AVG_TOTAL_SCORE,STDDEV_TOTALSCORE,AVG_MATH,VAR_MATH,AVG_LOTARE,AVG_FAR,AVG_ASSESSEDVAL_TOTAL,COM_FAR,RESI_FAR,OFFICE_FAR,RETAIL_FAR,GARG_FAR,STRG_FAR,FACT_FAR,AVG_UNITSTOTAL,AVG_PERCENT_OCC,AVG_MEDIAN_HHINCOME,AVG_MEANHH_HHINCOME,AVG_PCT_POVERTY,COUNT_GRAFFITI,COUNT_DIRTY,COUNT_DERELICTVEHICLES,AVG_MEDHOME_VAL,AVG_MED_GROSS_RENTAL,Rent_pct_inc
0,3,Brooklyn,47,BK43,Midwood,27996.59127,35799637.81,37816,18,6,0,0,1,1443,0,503,0,3886.867082,1.238768708,147640.6654,0.173067149,1.066138933,0.059154573,0.034018356,0.006236218,0.001287573,0.001065725,3.383916,89.338235,53903,74435.61765,15.98,9,211,68,629429.4118,1000.794118,0.222800121
1,3,Brooklyn,47,BK75,Bedford,29992.9188,32629833.3,56836,58,16,1,2.714988827,4,1186,120.8663174,402.5,1973.666667,3428.431295,1.633242489,454708.8627,0.391686266,1.246565559,0.116190969,0.064788189,0.011115992,0.031878197,0.082996371,4.328199,89.976923,34991,48032.23077,34.48,61,385,38,522138.4615,986.384615,0.33827203
2,2,Bronx,5,BX40,Fordham South,15878.27244,6307283.425,29151,1,9,2,3.977944508,0,0,0,0,0,6330.628019,2.609276783,202004.1577,0.530063694,2.079213089,0.150300154,0.190036171,0.033090921,0.020892219,0.009943734,15.639291,94.222222,23847,32795.88889,39.34,1,68,3,234022.2222,913.111111,0.459478348
3,3,Brooklyn,47,BK88,Borough Park,39247.22772,54005019.23,59949,32,23,0,0,1,1256,0,492,0,3143.21033,1.501285724,171536.1396,0.373105667,1.128671287,0.068840822,0.070374458,0.021338525,0.012694059,0.029690571,3.003304,91.317308,38139,53103.75,28.35,52,210,109,626705.7692,1088.192308,0.342391748
4,3,Brooklyn,47,BK96,Rugby-Remsen Village,30957.85341,32706946.25,38436,11,0,0,0,0,0,0,0,0,3063.823564,1.248868246,1759552.005,0.236164739,1.012703507,0.050478266,0.049802083,0.0244159,0.014545748,0.003745662,3.156947,91.426471,43849,54263.20588,18.19,7,361,71,416479.4118,992.558824,0.271629864
5,4,Queens,81,QN52,East Flushing,25843.36472,29454379.85,26148,3,0,0,0,0,0,0,0,0,4369.223095,0.602796365,123514.44,0.071452542,0.531343823,0.012454553,0.013920723,0.001922069,0.003223366,0.000433666,1.986029,90.773913,53034,65501.65217,12.43,0,87,36,554030.4348,1232.26087,0.278825422
6,4,Queens,81,QN53,Woodhaven,28070.58555,37001316.63,29235,21,8,2,7.188837696,1,1309,0,464,0,2836.237736,0.834509199,170105.6939,0.111037147,0.723472052,0.012975287,0.039765948,0.006145845,0.006974818,0.010873348,2.052275,93.015152,49673,60429.18182,13.95,36,499,211,452663.6364,1129.515152,0.272867196
7,3,Brooklyn,47,BK44,Madison,26237.25734,27379162,40313,34,5,1,3.581584146,1,1372,0,478,0,3061.321362,1.134597128,187191.2343,0.140026717,0.994570411,0.071146833,0.043989258,0.001093853,0.001975156,0,2.729121,83.406061,56288,70175.93939,11.95,4,200,83,563857.5758,1034.515152,0.220547336
8,4,Queens,81,QN48,Auburndale,32446.87876,34164217.65,23956,11,0,0,0,1,1441,0,530,0,4246.463985,0.525941574,236523.8016,0.086293342,0.439648232,0.01913095,0.017824476,0.004631395,0.00133512,4.06018E-05,1.480077,91.104545,67353,78862.77273,7.07,0,79,39,562295.4545,1306.318182,0.232741202
9,2,Bronx,5,BX44,Williamsbridge-Olinville,27350.97425,36273563.43,45010,13,10,5,14.65183064,9,1109.888889,48.61698377,375.777778,367.444444,3649.760474,1.101989352,1141775.479,0.199317346,0.902672005,0.014569697,0.043362672,0.018148465,0.002195171,0.007374672,3.279024,93.751429,43624,52619.42857,17.35,42,346,34,371605.7143,981.171429,0.269898614
