Cluster,Trendy,Tweight,Foodie,Fweight,NightLife,NLWeight,PublicSpace,PSWeight,Music,Mweight,SocialJustice,SJWeight,Fitness,FitWeight
1,Trendy,,Foodie,0.024,NightLife,,PublicSpace,,Music,,SocialJustice,,Fitness,,
2,Trendy,0.138,Foodie,0.041,NightLife,,PublicSpace,0.052,Music,,SocialJustice,,Fitness,,
3,Trendy,,Foodie,,NightLife,,PublicSpace,0.029,Music,0.019,SocialJustice,,Fitness,,
4,Trendy,,Foodie,0.203,NightLife,,PublicSpace,,Music,,SocialJustice,,Fitness,,
5,Trendy,0.068,Foodie,,NightLife,,PublicSpace,,Music,,SocialJustice,,Fitness,,
6,Trendy,,Foodie,,NightLife,,PublicSpace,,Music,,SocialJustice,,Fitness,,
7,Trendy,,Foodie,,NightLife,0.072,PublicSpace,,Music,,SocialJustice,,Fitness,,
8,Trendy,,Foodie,,NightLife,,PublicSpace,,Music,,SocialJustice,0.077,Fitness,,
9,Trendy,,Foodie,,NightLife,0.022,PublicSpace,0.225,Music,,SocialJustice,,Fitness,,
10,Trendy,,Foodie,,NightLife,,PublicSpace,0.081,Music,,SocialJustice,,Fitness,,
11,Trendy,,Foodie,,NightLife,,PublicSpace,,Music,0.206,SocialJustice,,Fitness,,
12,Trendy,,Foodie,0.132,NightLife,,PublicSpace,,Music,,SocialJustice,,Fitness,,
13,Trendy,,Foodie,,NightLife,,PublicSpace,,Music,,SocialJustice,0.043,Fitness,,
14,Trendy,,Foodie,0.013,NightLife,0.021,PublicSpace,0.029,Music,,SocialJustice,,Fitness,,
15,Trendy,,Foodie,,NightLife,,PublicSpace,,Music,,SocialJustice,0.028,Fitness,,
16,Trendy,,Foodie,,NightLife,,PublicSpace,,Music,,SocialJustice,,Fitness,,
17,Trendy,,Foodie,,NightLife,,PublicSpace,,Music,,SocialJustice,,Fitness,,
18,Trendy,,Foodie,,NightLife,,PublicSpace,,Music,,SocialJustice,0.574,Fitness,,
19,Trendy,,Foodie,0.024,NightLife,0.015,PublicSpace,,Music,,SocialJustice,,Fitness,,
20,Trendy,,Foodie,0.004,NightLife,,PublicSpace,,Music,,SocialJustice,0.004,Fitness,,
21,Trendy,,Foodie,0.017,NightLife,0.024,PublicSpace,0.066,Music,,SocialJustice,,Fitness,,
22,Trendy,,Foodie,,NightLife,,PublicSpace,,Music,,SocialJustice,,Fitness,,
23,Trendy,,Foodie,,NightLife,,PublicSpace,0.084,Music,,SocialJustice,0.018,Fitness,,
24,Trendy,,Foodie,,NightLife,,PublicSpace,,Music,,SocialJustice,,Fitness,,
25,Trendy,0.034,Foodie,,NightLife,,PublicSpace,,Music,,SocialJustice,,Fitness,,
26,Trendy,,Foodie,0.02,NightLife,,PublicSpace,0.011,Music,,SocialJustice,,Fitness,,
27,Trendy,,Foodie,,NightLife,0.157,PublicSpace,0.012,Music,0.023,SocialJustice,,Fitness,,
28,Trendy,,Foodie,0.033,NightLife,,PublicSpace,0.01,Music,,SocialJustice,0.134,Fitness,,
29,Trendy,,Foodie,,NightLife,,PublicSpace,,Music,0.065,SocialJustice,,Fitness,,
30,Trendy,0.141,Foodie,,NightLife,,PublicSpace,,Music,0.098,SocialJustice,,Fitness,,
31,Trendy,,Foodie,,NightLife,0.012,PublicSpace,,Music,0.06,SocialJustice,,Fitness,,
32,Trendy,,Foodie,0.042,NightLife,,PublicSpace,,Music,,SocialJustice,,Fitness,,
33,Trendy,0.134,Foodie,,NightLife,,PublicSpace,0.099,Music,0.021,SocialJustice,,Fitness,,
34,Trendy,,Foodie,,NightLife,,PublicSpace,,Music,,SocialJustice,,Fitness,,
35,Trendy,,Foodie,0.082,NightLife,0.015,PublicSpace,,Music,0.016,SocialJustice,,Fitness,,
36,Trendy,0.045,Foodie,0.022,NightLife,,PublicSpace,,Music,,SocialJustice,0.016,Fitness,,
37,Trendy,,Foodie,,NightLife,,PublicSpace,,Music,,SocialJustice,,Fitness,,
38,Trendy,,Foodie,,NightLife,,PublicSpace,,Music,,SocialJustice,,Fitness,,
39,Trendy,,Foodie,,NightLife,0.178,PublicSpace,,Music,,SocialJustice,,Fitness,0.088
40,Trendy,,Foodie,0.009,NightLife,,PublicSpace,,Music,,SocialJustice,0.259,Fitness,,
