pid,lat,lon,time,content,tags
796717510484078503_279663882,40.8902,-73.83076,,,[]
796716731115286427_279663882,40.8902,-73.83076,1409196057,And into the night the fire raged on.,[]
796715499684409221_279663882,40.8902,-73.83076,,,[]
796713015616253783_279663882,40.8902,-73.83076,1409195614,NYC OEM & FDNY EMS #FDNYInsta #FDNYFire #FDNY_343 #NYCOEM #OfficeOfEmergancyManagement #FDNYEMS,"['FDNYInsta', 'FDNYFire', 'FDNY_343', 'NYCOEM', 'OfficeOfEmergancyManagement', 'FDNYEMS']"
796711606304943931_279663882,40.8902,-73.83076,,,[]
796709664979726106_279663882,40.8902,-73.83076,,,[]
796707513553432305_279663882,40.8902,-73.83076,1409194958,FDNY Marine 6 shoot up a line of Foam on the Burning Barge. #FDNYInsta #FDNYFire #FDNY_343 #FDNYMarineCompany,"['FDNYInsta', 'FDNYFire', 'FDNY_343', 'FDNYMarineCompany']"
796705739941654214_279663882,40.8902,-73.83076,,,[]
796704372321726124_279663882,40.8902,-73.83076,1409194583,"FDNY Marine Company 4 , Marine Battalion and Marine 6 ""The Bravest"" repositioning for attack. #FDNYInsta #FDNYFIRE #FDNY_343 #FDNYMarineCompany #FDNYMarineBattallion","['FDNYInsta', 'FDNYFIRE', 'FDNY_343', 'FDNYMarineCompany', 'FDNYMarineBattallion']"
796702319419633287_279663882,40.8902,-73.83076,1409194339,FDNY Tiller Ladder 39 taking up they were the FAST Truck,[]
796701234311245431_279663882,40.8902,-73.83076,1409194209,FDNY Companies putting water on the barge fire. #FDNYInsta #FDNYFire #FDNY_343,"['FDNYInsta', 'FDNYFire', 'FDNY_343']"
796699603540684366_279663882,40.8902,-73.83076,1409194015,FDNY Ladder 41,[]
796695694130589172_279663882,40.8902,-73.83076,1409193549,FDNY Ladders 51. 61 and Tiller 39 with FDNY BN27 and FDMV Ladder 61 #FDNYInsta #FDNYFire #FDNY_343 #FDMV,"['FDNYInsta', 'FDNYFire', 'FDNY_343', 'FDMV']"
796693907239644613_279663882,40.8902,-73.83076,1409193336,"FDNY Ladder 41 ""Van Nest"" , Engine 63 ""WoodLawn Warriors"" and FDNY EMS Division. #FDNYInsta #FDNYFire #FDNY_343 #FDNYEMS #FDNYEMSDivision","['FDNYInsta', 'FDNYFire', 'FDNY_343', 'FDNYEMS', 'FDNYEMSDivision']"
796692317422267809_279663882,40.8902,-73.83076,1409193146,"Engines 89, 46, RAC 3, BN26 and Field Communications on scene of massive barge fire. #FDNYInsta #FDNYFire #FDNY_343 #FDNYRAC #FDNYFCU","['FDNYInsta', 'FDNYFire', 'FDNY_343', 'FDNYRAC', 'FDNYFCU']"
796690605751971188_279663882,40.8902,-73.83076,1409192942,NYPD Officers control traffic on Bost Post Road Bridge. #NYPDInsta,['NYPDInsta']
796688823122439495_279663882,40.8902,-73.83076,,,[]
796684472387677413_279663882,40.8902,-73.83076,1409192211,Sunset,[]
