lat,lon,time,content,tags
-73.95008102,40.81015675,Sun Nov 09 02:17:51 +0000 2014,#Legendary #Apollotheater @ Apollo Theater http://t.co/LgJtdXnvS5,"['Legendary', 'Apollotheater']"
-74.0285209,40.7776991,Sun Nov 09 02:20:55 +0000 2014,"@taylorcaniff 

#canifffollowme

PLEASE FOLLOW ME SUNSHINE 💛💛 
X9",['canifffollowme']
-73.98946962,40.72938769,Sun Nov 09 02:19:54 +0000 2014,Visiting the new @barcade @barcadestmarks but I like the @barcadebrooklyn better. It's all about the classics. :D,[]
-73.97836164,40.74548688,Sun Nov 09 02:19:23 +0000 2014,"Us

#wereallmovingtotexas @ Blockheads http://t.co/Mijoy5gUtY",['wereallmovingtotexas']
-73.98381,40.7598801,Sun Nov 09 02:17:18 +0000 2014,@SHAWBRi_ I got you....,[]
-74.07895386,40.70948021,Sun Nov 09 02:18:51 +0000 2014,Courtney gonna hear my mouth 😴,[]
-73.96231389,40.7101094,Sun Nov 09 02:19:54 +0000 2014,@TeriSecrest Successful entrepreneur-- Awesome you want to buy a rock n roll band? house trainable and perform on command!,[]
-73.98119155,40.76838408,Sun Nov 09 02:20:56 +0000 2014,Celfie before sushi with Boris and the bae's sofidollnyc @DoNNaUrMan @alissamia  🃏 @ Central Park http://t.co/8MaEA9zznF,[]
-73.98576546,40.72761043,Sun Nov 09 02:17:18 +0000 2014,#baysidethemusical #zachattack slap bracelet @ Bayside the Musical http://t.co/zOI5poY9Hy,"['baysidethemusical', 'zachattack']"
-73.90226667,40.76937167,Sun Nov 09 02:17:18 +0000 2014,#Goodnight 🍎💕 #iloveNY @ http://t.co/kPSf19KeaW http://t.co/ZfkVX9W2Qs,"['Goodnight', 'iloveNY']"
-73.99036805,40.70437744,Sun Nov 09 02:17:19 +0000 2014,"Just posted a photo @ DUMBO, Brooklyn Bridge Water Front http://t.co/GuQ44qaURA",[]
-73.95592698,40.77547051,Sun Nov 09 02:19:54 +0000 2014,Kombinelerini iptal etmek ne demek ya azına sıçtınız ortalığın batırdınız be yeter artık,[]
-74.00262809,40.72621447,Sun Nov 09 02:20:54 +0000 2014,#sushi #nyc #newyorkcity #wockawhat @ Blue Ribbon Sushi http://t.co/ryU3mPSwF4,"['sushi', 'nyc', 'newyorkcity', 'wockawhat']"
-73.8684514,40.7424636,Sun Nov 09 02:19:56 +0000 2014,I wanna party 😭,[]
-73.9852776,40.75951729,Sun Nov 09 02:17:18 +0000 2014,@dennis_greiner @Joshua_McLemon @_nikeman23_ you right,[]
-73.99220596,40.7568441,Sun Nov 09 02:20:57 +0000 2014,“@QTip_29: What LSU doing?” They playing good D,[]
-73.9626161,40.77905753,Sun Nov 09 02:20:54 +0000 2014,"Nancy Drew and the case of the girl who couldn't remember @ The Metropolitan Museum of Art, New York http://t.co/t0BvFiOXxx",[]
-73.98527764,40.75462431,Sun Nov 09 02:18:20 +0000 2014,I'm press I found some Alexander Wang clothes 💣😍 #KATIE,['KATIE']
-73.99360197,40.72047606,Sun Nov 09 02:21:25 +0000 2014,#priests rocking away @ The Bowery Ballroom http://t.co/tsxwQkn5EP,['priests']
-73.97782748,40.68689131,Sun Nov 09 02:19:22 +0000 2014,"Mario Montez and Boy, from songs for unseen Warhol films at BAM &lt;3 @ BAM http://t.co/g0WSZmwREM",[]
-73.96239204,40.71008854,Sun Nov 09 02:20:56 +0000 2014,@TeriSecrest (Thanks for the follow!),[]
-73.99005813,40.65863019,Sun Nov 09 02:18:22 +0000 2014,oldest twitter friend! @adamgurri http://t.co/GG9y1jAaQC,[]
-73.92269734,40.68620917,Sun Nov 09 02:20:25 +0000 2014,@carolineyall thirsty dog bourbon barrel wulver,[]
-73.98583564,40.75232313,Sun Nov 09 02:21:28 +0000 2014,Flat white cappuccino from culture coffee shop. #culture #coffee #cappuccino #coffeeart #nyc #nyceats… http://t.co/UmPdGuig9A,"['culture', 'coffee', 'cappuccino', 'coffeeart', 'nyc', 'nyceats']"
-73.98806776,40.74798167,Sun Nov 09 02:19:54 +0000 2014,@RedCupRebellion @MattSBN Try the John Folse recipe. Thank me after.,[]
-74.04474197,40.76041788,Sun Nov 09 02:17:48 +0000 2014,@NestleTollHouse Delightfulls with cherry filling? 👀👀👀 #wellplayed,['wellplayed']
-74.00963873,40.78011384,Sun Nov 09 02:21:25 +0000 2014,sweet baby @ P.F. Chang's China Bistro http://t.co/t9PE2mG7Ro,[]
-73.8959107,40.7677737,Sun Nov 09 02:19:54 +0000 2014,How you gonna act like that,[]
-74.16021089,40.72259499,Sun Nov 09 02:16:47 +0000 2014,Being in bed high listening to music is the absolute best thing,[]
-73.89592919,40.75239911,Sun Nov 09 02:17:20 +0000 2014,Acabo de publicar una foto @ BQE Billiards &amp; Bar http://t.co/yrlqiSda7j,[]
-74.01222229,40.71858215,Sun Nov 09 02:20:26 +0000 2014,“@Isaac___Tejada: Bae belongs on tumblr”💕💕,[]
