,Name,Borough,Lat,Lon
0,Wakefield,Bronx,40.894699,-73.847198
1,Co-op City,Bronx,40.874298,-73.829903
2,Eastchester,Bronx,40.8876,-73.827797
3,Fieldston,Bronx,40.895401,-73.905602
4,Riverdale,Bronx,40.8908,-73.912598
5,Kingsbridge,Bronx,40.881699,-73.902802
6,Marble Hill,Manhattan,40.876598,-73.910698
7,Woodlawn,Bronx,40.8983,-73.867302
8,Norwood,Bronx,40.877201,-73.879402
9,Williamsbridge,Bronx,40.881001,-73.857399
10,Baychester,Bronx,40.866901,-73.8358
11,Pelham Parkway,Bronx,40.857399,-73.854797
12,City Island,Bronx,40.847198,-73.786499
13,Bedford Park,Bronx,40.870201,-73.885498
14,University Heights,Bronx,40.855701,-73.9104
15,Morris Heights,Bronx,40.8479,-73.919701
16,Fordham,Bronx,40.861,-73.8964
17,East Tremont,Bronx,40.842701,-73.887398
18,West Farms,Bronx,40.8395,-73.877701
19,High  Bridge,Bronx,40.836601,-73.926102
20,Melrose,Bronx,40.819801,-73.909401
21,Mott Haven,Bronx,40.806198,-73.9161
22,Port Morris,Bronx,40.801701,-73.9132
23,Longwood,Bronx,40.815102,-73.895798
24,Hunts Point,Bronx,40.8097,-73.883301
25,Morrisania,Bronx,40.823601,-73.901497
26,Soundview,Bronx,40.820999,-73.8657
27,Clason Point,Bronx,40.806599,-73.854103
28,Throgs Neck,Bronx,40.815102,-73.816399
29,Country Club,Bronx,40.8442,-73.824097
30,Parkchester,Bronx,40.837898,-73.856003
31,Westchester Square,Bronx,40.840599,-73.842201
32,Van Nest,Bronx,40.843601,-73.866302
33,Morris Park,Bronx,40.8475,-73.850403
34,Belmont,Bronx,40.8573,-73.888496
35,Spuyten Duyvil,Bronx,40.881401,-73.917198
36,North Riverdale,Bronx,40.908501,-73.904503
37,Pelham Bay,Bronx,40.850601,-73.8321
38,Schuylerville,Bronx,40.826599,-73.826202
39,Edgewater Park,Bronx,40.821999,-73.813904
40,Castle Hill,Bronx,40.819,-73.848
41,Olinville,Bronx,40.871399,-73.863297
42,Pelham Gardens,Bronx,40.862999,-73.841599
43,Concourse,Bronx,40.834301,-73.915604
44,Unionport,Bronx,40.8298,-73.850502
45,Edenwald,Bronx,40.884602,-73.848099
46,Bay Ridge,Brooklyn,40.625801,-74.030602
47,Bensonhurst,Brooklyn,40.611,-73.995201
48,Sunset Park,Brooklyn,40.6451,-74.0103
49,Greenpoint,Brooklyn,40.730202,-73.954201
50,Gravesend,Brooklyn,40.595299,-73.973503
51,Brighton Beach,Brooklyn,40.576801,-73.965103
52,Sheepshead Bay,Brooklyn,40.586899,-73.943199
53,Manhattan Terrace,Brooklyn,40.614399,-73.957397
54,Flatbush,Brooklyn,40.636299,-73.958397
55,Crown Heights,Brooklyn,40.670799,-73.943298
56,East Flatbush,Brooklyn,40.641701,-73.936096
57,Kensington,Brooklyn,40.642399,-73.9804
58,Windsor Terrace,Brooklyn,40.656898,-73.980103
59,Prospect Heights,Brooklyn,40.6768,-73.964897
60,Brownsville,Brooklyn,40.663898,-73.910202
61,Williamsburg,Brooklyn,40.7071,-73.958099
62,Bushwick,Brooklyn,40.698101,-73.925301
63,Bedford Stuyvesant,Brooklyn,40.687199,-73.941803
64,Brooklyn Heights,Brooklyn,40.6959,-73.993797
65,Cobble Hill,Brooklyn,40.687901,-73.998596
66,Carroll Gardens,Brooklyn,40.6805,-73.994698
67,Red Hook,Brooklyn,40.6763,-74.012802
68,Gowanus,Brooklyn,40.673901,-73.9944
69,Fort Greene,Brooklyn,40.688499,-73.9729
70,Park Slope,Brooklyn,40.672298,-73.977097
71,Cypress Hills,Brooklyn,40.6824,-73.876602
72,East New York,Brooklyn,40.669899,-73.880699
73,Starrett City,Brooklyn,40.647598,-73.879402
74,Canarsie,Brooklyn,40.635601,-73.9021
75,Flatlands,Brooklyn,40.630402,-73.9291
76,Mill Island,Brooklyn,40.6063,-73.908203
77,Manhattan Beach,Brooklyn,40.5779,-73.943497
78,Coney Island,Brooklyn,40.574299,-73.988701
79,Bath Beach,Brooklyn,40.599499,-73.998703
80,Borough Park,Brooklyn,40.633099,-73.990501
81,Dyker Heights,Brooklyn,40.619202,-74.019302
82,Gerritsen Beach,Brooklyn,40.590801,-73.930099
83,Marine Park,Brooklyn,40.609699,-73.931297
84,Clinton Hill,Brooklyn,40.693199,-73.967796
85,Sea Gate,Brooklyn,40.576401,-74.007896
86,Downtown,Brooklyn,40.6908,-73.983498
87,Boerum Hill,Brooklyn,40.685699,-73.983704
88,Prospect Lefferts Gardens,Brooklyn,40.658401,-73.954903
89,Ocean Hill,Brooklyn,40.678398,-73.913101
90,City Line,Brooklyn,40.6786,-73.867996
91,Bergen Beach,Brooklyn,40.6152,-73.898598
92,Midwood,Brooklyn,40.625599,-73.957603
93,Prospect Park South,Brooklyn,40.646999,-73.962601
94,Georgetown,Brooklyn,40.623798,-73.9161
95,East Williamsburg,Brooklyn,40.7085,-73.938904
96,North Side,Brooklyn,40.714802,-73.958801
97,South Side,Brooklyn,40.710899,-73.958
98,Ocean Parkway,Brooklyn,40.613098,-73.968399
99,Fort Hamilton,Brooklyn,40.614799,-74.031998
100,Chinatown,Manhattan,40.715599,-73.994301
101,Washington Heights,Manhattan,40.851898,-73.936897
102,Inwood,Manhattan,40.867699,-73.921204
103,Hamilton Heights,Manhattan,40.823601,-73.949699
104,Manhattanville,Manhattan,40.816898,-73.957397
105,Central Harlem,Manhattan,40.816002,-73.943199
106,East Harlem,Manhattan,40.792198,-73.944199
